"","houses","numocc","numFem","numMale","oldest","youngest","headsex","headage","net","under5","under1","under18","periph","lat","lon","hspray","site","elev","lang"
"1316","KBK_6_0009",5,2,3,36.84,0.82,"M",36.84,5,3,1,3,0,0.22025,34.97775,0,1,1835,5
"1317","KBK_6_0016",6,3,3,47.85,3.82,"F",47.85,1,1,0,3,0,0.220567,34.980167,0,1,1871,4
"1318","KBK_6_0006",3,1,2,70.87,6.82,"F",70.87,0,0,0,2,0,0.220833,34.977267,0,1,1822,5
"1319","KBK_6_0008",3,2,1,21.83,0.82,"M",21.83,3,1,1,1,0,0.220833,34.97785,0,1,1836,2
"1320","KBK_6_0005",5,4,1,36.84,0.82,"F",36.84,5,2,1,3,0,0.220867,34.977033,0,1,1821,4
"1321","KBK_6_0002",7,3,4,30.84,1.82,"M",30.84,0,2,0,5,0,0.220933,34.976233,0,1,1801,4
"1322","KBK_6_0017",2,2,0,70.87,7.82,"F",70.87,0,0,0,1,0,0.220933,34.9805,0,1,1883,4
"1323","KBK_6_0007",7,1,6,36.84,1.82,"M",36.84,0,2,0,5,0,0.221033,34.977283,0,1,1820,5
"1324","KBK_6_0001",4,3,1,82.87,6.82,"F",82.87,0,0,0,1,0,0.221167,34.976067,0,1,1788,4
"1325","KBK_6_0018",3,3,0,32.84,8.82,NA,NA,0,0,0,2,0,0.2212,34.980567,0,1,1882,4
"1326","KBK_6_0057",7,3,4,47.85,2.82,"M",47.85,7,1,0,5,0,0.221417,34.984167,0,1,2087,5
"1327","KBK_6_0021",4,1,3,34.84,1.82,"F",34.84,0,2,0,3,0,0.221433,34.979817,0,1,1863,4
"1328","KBK_6_0020",6,3,3,33.84,1.82,"M",33.84,0,2,0,4,0,0.22145,34.98,0,1,1861,4
"1329","KBK_6_0019",10,4,6,46.85,1.82,"M",46.85,0,2,0,7,0,0.221517,34.980483,0,1,1881,4
"1330","KBK_6_0027",3,1,2,52.85,14.83,"M",52.85,0,0,0,1,0,0.221517,34.979217,0,1,1850,4
"1331","KBK_6_0025",3,1,2,59.86,19.83,"M",59.86,1,0,0,0,0,0.221617,34.9797,0,1,1853,4
"1332","KBK_6_0026",4,2,2,29.84,1.82,"M",29.84,0,2,0,2,0,0.221717,34.979233,0,1,1848,4
