site,Sublocat,village,Collector,Subcode,Villcode,House,Elevation,Lat,Long,HHUNCODE,Sex,Age,HHhead,Relate,NetHH,HHspray,Lang
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0113,1699.000000,0.177800,34.943200,TIN210113,M,3.91,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0030,1752.000000,0.177833,34.950950,TIN100030,M,61.81,Y,1,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0030,1752.000000,0.177833,34.950950,TIN100030,M,19.87,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0030,1752.000000,0.177833,34.950950,TIN100030,M,19.70,N,9,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0116,1679.000000,0.177850,34.928350,TIN180116,M,50.95,Y,1,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0116,1679.000000,0.177850,34.928350,TIN180116,M,17.92,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0116,1679.000000,0.177850,34.928350,TIN180116,M,12.92,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0116,1679.000000,0.177850,34.928350,TIN180116,M,10.92,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0090,1726.000000,0.177867,34.947267,TIN100090,M,35.22,Y,1,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0090,1726.000000,0.177867,34.947267,TIN100090,M,41.55,N,6,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0090,1726.000000,0.177867,34.947267,TIN100090,M,0.28,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0018,1750.000000,0.177883,34.951983,TIN100018,M,27.79,Y,1,N,N,5.000000
High,Tindinyo,Seminary,David sang,TIN,10,0018,1750.000000,0.177883,34.951983,TIN100018,M,4.86,N,7,N,N,5.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0114,1695.000000,0.177917,34.943717,TIN210114,M,14.92,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0114,1695.000000,0.177917,34.943717,TIN210114,M,12.91,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0110,1699.000000,0.177933,34.938250,TIN130110,M,58.78,Y,1,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0110,1699.000000,0.177933,34.938250,TIN130110,M,6.74,N,9,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0110,1699.000000,0.177933,34.938250,TIN130110,M,3.74,N,9,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0110,1699.000000,0.177933,34.938250,TIN130110,M,1.73,N,9,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0110,1699.000000,0.177933,34.938250,TIN130110,M,2.74,N,9,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0109,1698.000000,0.177967,34.937883,TIN130109,M,27.75,Y,1,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0109,1698.000000,0.177967,34.937883,TIN130109,M,6.74,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0109,1698.000000,0.177967,34.937883,TIN130109,M,4.74,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0108,1696.000000,0.178067,34.937900,TIN130108,M,54.77,Y,1,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0108,1696.000000,0.178067,34.937900,TIN130108,M,8.74,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0108,1696.000000,0.178067,34.937900,TIN130108,M,20.75,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0107,1668.000000,0.178067,34.925783,TIN190107,M,11.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0107,1668.000000,0.178067,34.925783,TIN190107,M,9.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0107,1668.000000,0.178067,34.925783,TIN190107,M,5.92,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0032,1750.000000,0.178083,34.951183,TIN100032,M,40.64,Y,1,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0120,1653.000000,0.178100,34.922850,TIN160120,M,72.96,Y,1,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0120,1653.000000,0.178100,34.922850,TIN160120,M,20.92,N,9,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0092,1729.000000,0.178150,34.947417,TIN100092,M,26.12,Y,1,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0084,1730.000000,0.178217,34.947617,TIN100084,M,9.45,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0084,1730.000000,0.178217,34.947617,TIN100084,M,7.78,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0084,1730.000000,0.178217,34.947617,TIN100084,M,1.36,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0112,1699.000000,0.178233,34.937583,TIN130112,M,10.74,N,7,Y,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0112,1699.000000,0.178233,34.937583,TIN130112,M,6.74,N,7,Y,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0113,1699.000000,0.178250,34.937500,TIN130113,M,19.75,N,9,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0109,1679.000000,0.178283,34.926400,TIN180109,M,37.94,Y,1,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0109,1679.000000,0.178283,34.926400,TIN180109,M,8.92,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0109,1679.000000,0.178283,34.926400,TIN180109,M,6.92,N,7,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0123,1657.000000,0.178300,34.922550,TIN160123,M,36.93,Y,1,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0123,1657.000000,0.178300,34.922550,TIN160123,M,6.92,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0117,1697.000000,0.178317,34.942400,TIN210117,M,26.92,Y,1,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0117,1697.000000,0.178317,34.942400,TIN210117,M,1.90,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0101,1708.000000,0.178350,34.939483,TIN130101,M,25.75,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0101,1708.000000,0.178350,34.939483,TIN130101,M,24.75,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0101,1708.000000,0.178350,34.939483,TIN130101,M,22.75,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0101,1708.000000,0.178350,34.939483,TIN130101,M,12.74,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0101,1708.000000,0.178350,34.939483,TIN130101,M,14.74,N,7,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0115,1684.000000,0.178383,34.928517,TIN180115,M,67.96,Y,1,N,N,4.000000
High,Tindinyo,Emgit A,DAVID K. KOSGEI,TIN,18,0115,1684.000000,0.178383,34.928517,TIN180115,M,19.93,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0105,1663.000000,0.178400,34.925333,TIN190105,M,19.93,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0105,1663.000000,0.178400,34.925333,TIN190105,M,9.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0105,1663.000000,0.178400,34.925333,TIN190105,M,5.92,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0108,1702.000000,0.178417,34.940667,TIN210108,M,9.91,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0108,1702.000000,0.178417,34.940667,TIN210108,M,15.92,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0108,1702.000000,0.178417,34.940667,TIN210108,M,7.91,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0034,1750.000000,0.178483,34.951433,TIN100034,M,58.73,N,14,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0034,1750.000000,0.178483,34.951433,TIN100034,M,40.22,Y,1,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0122,1650.000000,0.178483,34.922750,TIN160122,M,60.95,Y,1,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0101,1665.000000,0.178483,34.926167,TIN190101,M,37.94,Y,1,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0101,1665.000000,0.178483,34.926167,TIN190101,M,5.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0101,1665.000000,0.178483,34.926167,TIN190101,M,2.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0104,1664.000000,0.178483,34.925583,TIN190104,M,36.94,Y,1,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0104,1664.000000,0.178483,34.925583,TIN190104,M,14.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0104,1664.000000,0.178483,34.925583,TIN190104,M,3.92,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0060,1755.000000,0.178517,34.949550,TIN100060,M,31.79,Y,1,Y,N,5.000000
High,Tindinyo,Seminary,David sang,TIN,10,0060,1755.000000,0.178517,34.949550,TIN100060,M,3.94,N,7,Y,N,5.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0102,1696.000000,0.178667,34.939267,TIN130102,M,5.73,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0102,1696.000000,0.178667,34.939267,TIN130102,M,0.73,N,7,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,63.95,Y,1,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,13.92,N,9,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,30.93,N,9,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,23.93,N,9,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,14.92,N,9,N,N,4.000000
